DATE,TIME,OPEN,HIGH,LOW,CLOSE
2024.09.09,19:00:00,2499.05,2501.96,2499.05,2501.78
2024.09.09,19:15:00,2501.81,2503.09,2501.19,2501.8
2024.09.09,19:30:00,2501.8,2503.57,2501.6,2502.58
2024.09.09,19:45:00,2502.58,2505.13,2501.22,2504.23
2024.09.09,20:00:00,2504.23,2504.43,2501.9,2502.39
2024.09.09,20:15:00,2502.36,2503.78,2501.57,2503.1
2024.09.09,20:30:00,2503.11,2506.42,2502.35,2502.35
2024.09.09,20:45:00,2502.36,2502.96,2499.32,2499.87
2024.09.09,21:00:00,2499.91,2500.55,2499.36,2500.43
2024.09.09,21:15:00,2500.44,2502.04,2499.73,2501.45
2024.09.09,21:30:00,2501.48,2503.07,2501.0,2502.98
2024.09.09,21:45:00,2502.98,2505.2,2502.89,2504.63
2024.09.09,22:00:00,2504.63,2504.64,2502.57,2502.77
2024.09.09,22:15:00,2502.77,2503.75,2502.55,2503.7
2024.09.09,22:30:00,2503.71,2505.59,2502.77,2505.26
2024.09.09,22:45:00,2505.27,2505.98,2504.43,2505.89
2024.09.09,23:00:00,2505.86,2506.16,2505.39,2505.65
2024.09.09,23:15:00,2505.65,2505.9,2505.15,2505.3
2024.09.09,23:30:00,2505.32,2507.04,2505.31,2506.83
2024.09.09,23:45:00,2506.84,2506.88,2505.44,2506.22
2024.09.10,01:00:00,2506.19,2506.84,2505.83,2506.09
2024.09.10,01:15:00,2506.11,2506.81,2505.73,2506.62
2024.09.10,01:30:00,2506.62,2507.12,2506.62,2506.95
2024.09.10,01:45:00,2506.91,2507.05,2506.56,2506.92
2024.09.10,02:00:00,2506.88,2506.88,2505.98,2506.15
2024.09.10,02:15:00,2506.16,2506.27,2505.6,2506.06
2024.09.10,02:30:00,2506.08,2507.56,2506.08,2507.48
2024.09.10,02:45:00,2507.49,2507.49,2506.42,2506.66
2024.09.10,03:00:00,2506.65,2507.38,2505.86,2506.29
2024.09.10,03:15:00,2506.29,2506.7,2504.7,2505.0
2024.09.10,03:30:00,2505.02,2506.26,2504.76,2506.12
2024.09.10,03:45:00,2506.12,2506.13,2504.83,2505.31
